dialogue,label,character_name,character_group
More Slam-dancers?,CHARACTER,Zagreus,male
Burn-Flingers!,CHARACTER,Zagreus,male
Burn-Flingers.,CHARACTER,Zagreus,male
Burn-Flingers!,CHARACTER,Zagreus,male
More Burn-Flingers!,CHARACTER,Zagreus,male
More Burn-Flingers?,CHARACTER,Zagreus,male
Skull-Crushers!,CHARACTER,Zagreus,male
Skull-Crushers.,CHARACTER,Zagreus,male
Skull-Crushers!,CHARACTER,Zagreus,male
More Skull-Crushers!,CHARACTER,Zagreus,male
Skull-Crushers?,CHARACTER,Zagreus,male
Gorgons!,CHARACTER,Zagreus,male
Gorgons.,CHARACTER,Zagreus,male
Gorgons!,CHARACTER,Zagreus,male
Gorgons!,CHARACTER,Zagreus,male
Gorgons?,CHARACTER,Zagreus,male
"Oh hi, sorry, Miss Meg!",CHARACTER,Dusa,female
"I really hate this part of the job, Miss Meg!",CHARACTER,Dusa,female
"Miss Meg, I am so sorry!",CHARACTER,Dusa,female
"Um hi again, Miss Meg!",CHARACTER,Dusa,female
"Prince, this is so mean!!",CHARACTER,Dusa,female
"Now break it up, you two!",CHARACTER,Dusa,female
I hate to see you fight!,CHARACTER,Dusa,female
"No way, Miss Meg?!",CHARACTER,Dusa,female
What a bunch of phonies!,CHARACTER,Dusa,female
You give gorgons a bad name!,CHARACTER,Dusa,female
You no-good gorgons!,CHARACTER,Dusa,female
"Get ready for the real deal, gorgon heads!",CHARACTER,Dusa,female
You ladies ready?!,CHARACTER,Dusa,female
Come get a taste of your own medicine!,CHARACTER,Dusa,female
"Come and get it, ladies!!",CHARACTER,Dusa,female
"Gorgons causing problems for you, Prince?",CHARACTER,Dusa,female
"Whoa, big momma!",CHARACTER,Dusa,female
"May I remind you, no relation, Prince?",CHARACTER,Dusa,female
"Hey, sister, let's see what you've got!",CHARACTER,Dusa,female
"This lady's trouble, Prince!",CHARACTER,Dusa,female
I'm not afraid of you!!,CHARACTER,Dusa,female
You're not so tough!,CHARACTER,Dusa,female
Oh hi Big Snake!,CHARACTER,Dusa,female
Look at this big old snake!,CHARACTER,Dusa,female
Oh wow that thing is huge!,CHARACTER,Dusa,female
"That big snake making trouble, Prince?",CHARACTER,Dusa,female
I'm not afraid of snakes!,CHARACTER,Dusa,female
I'm not afraid of snakes!! That would be weird.,CHARACTER,Dusa,female
Oh wow this guy is huge!,CHARACTER,Dusa,female
Whoa it's the Minotaur!,CHARACTER,Dusa,female
Look at the size of this guy!,CHARACTER,Dusa,female
"This looks like trouble, Prince!",CHARACTER,Dusa,female
Let's slow this bruiser down!,CHARACTER,Dusa,female
"Hey, toughguy, over here!",CHARACTER,Dusa,female
"Whoa, what a crowd!",CHARACTER,Dusa,female
"Hey, look, an audience!",CHARACTER,Dusa,female
Would you look at this crowd?,CHARACTER,Dusa,female
Is this the main event?!,CHARACTER,Dusa,female
Wow look at all this!,CHARACTER,Dusa,female
"Wow this place is amazing, Prince!",CHARACTER,Dusa,female
"Oh wow, that's Charon, Prince!",CHARACTER,Dusa,female
"You stay away from him, please, Charon sir!",CHARACTER,Dusa,female
"You'll please forgive us, won't you, Charon sir?",CHARACTER,Dusa,female
"Um, no hard feelings, OK, Charon sir?",CHARACTER,Dusa,female
"Ah, it's your father, Prince!!",CHARACTER,Dusa,female
"Am I supposed to be here, Prince?!",CHARACTER,Dusa,female
"Um, I could get in lots of trouble here!",CHARACTER,Dusa,female
"Oh wow, Lord Hades, sir!!",CHARACTER,Dusa,female
"Ahh, oh no, it's him!",CHARACTER,Dusa,female
Ahh it's the big boss!!,CHARACTER,Dusa,female
"Ooh, Thanatos!",CHARACTER,Dusa,female
"It's Thanatos, what do you need me for?",CHARACTER,Dusa,female
"Oh wow, it's Thanatos!",CHARACTER,Dusa,female
Whoa is that Thanatos?,CHARACTER,Dusa,female
"Ah, that is Thanatos!",CHARACTER,Dusa,female
"Wait, Thanatos, that's him!",CHARACTER,Dusa,female
Time to do my thing!,CHARACTER,Dusa,female
Time to take out the trash!,CHARACTER,Dusa,female
Got here as fast as I could!,CHARACTER,Dusa,female
Incomiiing!,CHARACTER,Dusa,female
"Who wants to tangle, huh?!",CHARACTER,Dusa,female
"Don't worry, I'll save you!",CHARACTER,Dusa,female
I'm here to rescue you!!,CHARACTER,Dusa,female
This sure beats mopping floors!,CHARACTER,Dusa,female
Statue-making time!,CHARACTER,Dusa,female
Who wants to get rocked?!,CHARACTER,Dusa,female
I'm tougher than I look!,CHARACTER,Dusa,female
"I'll get right on it, Prince!",CHARACTER,Dusa,female
You can count on me!,CHARACTER,Dusa,female
You can count on me!,CHARACTER,Dusa,female
Heyy!,CHARACTER,Dusa,female
Hey!,CHARACTER,Dusa,female
"Um, hey!",CHARACTER,Dusa,female
Oh stop!,CHARACTER,Dusa,female
"Not me, Prince!",CHARACTER,Dusa,female
Nuh-uh!,CHARACTER,Dusa,female
No sir!,CHARACTER,Dusa,female
"Uh, Prince?",CHARACTER,Dusa,female
Your Highness!,CHARACTER,Dusa,female
Honest mistake!,CHARACTER,Dusa,female
Don't worry about me!,CHARACTER,Dusa,female
Ow!! Kidding.,CHARACTER,Dusa,female
I'm only here to help!,CHARACTER,Dusa,female
"Hey, what gives?",CHARACTER,Dusa,female
Good thing we have this bond!,CHARACTER,Dusa,female
"Woo, I'm invincible!!",CHARACTER,Dusa,female
Got one!,CHARACTER,Dusa,female
I got one!,CHARACTER,Dusa,female
Take that!,CHARACTER,Dusa,female
Got you!,CHARACTER,Dusa,female
Go away!,CHARACTER,Dusa,female
Go away!,CHARACTER,Dusa,female
Ooh I got one!,CHARACTER,Dusa,female
Got 'em!,CHARACTER,Dusa,female
Haha!,CHARACTER,Dusa,female
That'll show you!,CHARACTER,Dusa,female
Rocked one!,CHARACTER,Dusa,female
Oh no are you OK?,CHARACTER,Dusa,female
"Prince, no!",CHARACTER,Dusa,female
"Ah, watch out!",CHARACTER,Dusa,female
Oh no!!,CHARACTER,Dusa,female
Are you OK?,CHARACTER,Dusa,female
Ah you're hurt!,CHARACTER,Dusa,female
"No, keep fighting!",CHARACTER,Dusa,female
"Keep fighting, Prince!",CHARACTER,Dusa,female
"Oh, ow!!",CHARACTER,Dusa,female
"No, I...!",CHARACTER,Dusa,female
I can't look...!,CHARACTER,Dusa,female
Prince!,CHARACTER,Dusa,female
Zagreus!,CHARACTER,Dusa,female
Keep fighting!,CHARACTER,Dusa,female
"Oh, it's Athena, huh...",CHARACTER,Dusa,female
Athena's helping you?,CHARACTER,Dusa,female
"Careful with that one, Prince.",CHARACTER,Dusa,female
"Help from Athena, huh?",CHARACTER,Dusa,female
"Oh wow, look at you go!",CHARACTER,Dusa,female
"Whoa, that is something, Prince!",CHARACTER,Dusa,female
"Woo, you get them, Prince!",CHARACTER,Dusa,female
"Wow, would you look at that!",CHARACTER,Dusa,female
"Calling in extra favors, Prince?",CHARACTER,Dusa,female
That'll show them!,CHARACTER,Dusa,female
"Take care, OK?!",CHARACTER,Dusa,female
I have to go!,CHARACTER,Dusa,female
Aah I have to go!,CHARACTER,Dusa,female
"Bye, Prince!",CHARACTER,Dusa,female
Keep going!,CHARACTER,Dusa,female
Hope I could help!,CHARACTER,Dusa,female
Please be OK?,CHARACTER,Dusa,female
I need to get back!,CHARACTER,Dusa,female
Oh no I'm late!,CHARACTER,Dusa,female
"Keep fighting, Zagreus!",CHARACTER,Dusa,female
OK byeee!,CHARACTER,Dusa,female
"Go on without me, Prince!",CHARACTER,Dusa,female
Hope I did OK!,CHARACTER,Dusa,female
Cheers!,CHARACTER,Zagreus,male
Bye now!,CHARACTER,Zagreus,male
See you!,CHARACTER,Zagreus,male
See you at home?,CHARACTER,Zagreus,male
Thanks!,CHARACTER,Zagreus,male
Thank you!!,CHARACTER,Zagreus,male
I owe you one!,CHARACTER,Zagreus,male
OK good-bye!,CHARACTER,Zagreus,male
We'll chat later OK?,CHARACTER,Zagreus,male
Thank you for that!,CHARACTER,Zagreus,male
One's respawning.,CHARACTER,DROPPED_Zagreus,droppedMale
One's respawning!,CHARACTER,DROPPED_Zagreus,droppedMale
That one's respawning.,CHARACTER,DROPPED_Zagreus,droppedMale
That one's respawning!,CHARACTER,DROPPED_Zagreus,droppedMale
One's regenerating.,CHARACTER,Zagreus,male
One's regenerating!,CHARACTER,Zagreus,male
That one's regenerating.,CHARACTER,Zagreus,male
That one's regenerating!,CHARACTER,Zagreus,male
One's rearming.,CHARACTER,Zagreus,male
One's rearming!,CHARACTER,Zagreus,male
That one's rearming.,CHARACTER,Zagreus,male
That one's rearming!,CHARACTER,Zagreus,male
He's trying to respawn!,CHARACTER,Zagreus,male
"Damn it, one's come back.",CHARACTER,Zagreus,male
He's fully recovered!,CHARACTER,Zagreus,male
"Damn, he's recovered!",CHARACTER,Zagreus,male
That one's come back!,CHARACTER,Zagreus,male
That one fully rearmed!,CHARACTER,Zagreus,male
Strongbows!,CHARACTER,Zagreus,male
Strongbows.,CHARACTER,Zagreus,male
Strongbows!,CHARACTER,Zagreus,male
More Strongbows!,CHARACTER,Zagreus,male
More Strongbows?,CHARACTER,Zagreus,male
Longspears!,CHARACTER,Zagreus,male
Longspears.,CHARACTER,Zagreus,male
Longspears!,CHARACTER,Zagreus,male
More Longspears!,CHARACTER,Zagreus,male
More Longspears?,CHARACTER,Zagreus,male
Greatshields!,CHARACTER,Zagreus,male
Greatshields.,CHARACTER,Zagreus,male
Greatshields!,CHARACTER,Zagreus,male
More Greatshields!,CHARACTER,Zagreus,male
More Greatshields?,CHARACTER,Zagreus,male
Brightswords!,CHARACTER,Zagreus,male
Brightswords.,CHARACTER,Zagreus,male
Brightswords!,CHARACTER,Zagreus,male
More Brightswords!,CHARACTER,Zagreus,male
More Brightswords?,CHARACTER,Zagreus,male
Satyrs!,CHARACTER,Zagreus,male
Satyrs.,CHARACTER,Zagreus,male
Satyrs!,CHARACTER,Zagreus,male
More Satyrs!,CHARACTER,Zagreus,male
More Satyrs?,CHARACTER,Zagreus,male
Crawlers!,CHARACTER,Zagreus,male
Crawlers.,CHARACTER,Zagreus,male
Crawlers!,CHARACTER,Zagreus,male
More Crawlers!,CHARACTER,Zagreus,male
More Crawlers?,CHARACTER,Zagreus,male
Vermin!,CHARACTER,Zagreus,male
Vermin.,CHARACTER,Zagreus,male
Vermin!,CHARACTER,Zagreus,male
More Vermin!,CHARACTER,Zagreus,male
More Vermin?,CHARACTER,Zagreus,male
"Nice place you got here, boyo! Name's Skelly, how's it going, but enough with the small talk already, I'm here to do a job. So let me have it! Give me everything you got!!",CHARACTER,Skelly,male
"I don't remember having you on payroll, mate. Who's your supervisor?",CHARACTER,Zagreus,male
ZagreusTalkEmpathyStart,CHARACTER,_preLineAnim,unknown
"Oh-hoh, I'm not about to rat my sources, pal! Just try and beat it out of me!",CHARACTER,Skelly,male
Don't suppose I can talk you into fighting back this time?,CHARACTER,Zagreus,male
ZagreusTalkDenialStart,CHARACTER,_preLineAnim,unknown
"Not a chance, boyo, I'm paid to take it not to dish it out! Now give it to me!!",CHARACTER,Skelly,male
"Hey, you're getting pretty strong, there, pal! Though, I am being paid to tell you that! But not being paid to not tell you that last part...",CHARACTER,Skelly,male
"I have to ask you something, mate. What do you even need the pay for, anyway?",CHARACTER,Zagreus,male
ZagreusExpressiveEmpathy,CHARACTER,_preLineAnim,unknown
"That, pal, is nobody's business but my own! Besides, it's impolite discussing money all the time! Now back to beating me to powder!",CHARACTER,Skelly,male
"Let me give you a piece of advice, boyo. You run across a guy like me out there, you just give him a good stab right in the back without a second thought before he sends you crying back to Papa.",CHARACTER,Skelly,male
"You getting pretty strong, I'll give you that, boyo. Strong enough to smack a guy like me right up against the wall and I'd go straight to pieces, boom! You just remember, when you're duking it out, the walls are your friend!",CHARACTER,Skelly,male
"Smack guys against walls. Sound advice as ever, mate.",CHARACTER,Zagreus,male
"Hey pal watch where you throw those bloodstone things of yours, you drop them, you go pick them up, you understand? But if somebody gives you grief, you got my permission to chuck one right in his eye!",CHARACTER,Skelly,male
I'll just aim generally for the midsection since the eyes are a lot harder to hit in my experience.,CHARACTER,Zagreus,male
ZagreusTalkDenialStart,CHARACTER,_preLineAnim,unknown
"You're pretty quick, you know, boyo! Just be sure to use that fancy dash of yours and keep 'em guessing! Don't let 'em catch you standing still!",CHARACTER,Skelly,male
"Dash like mad instead of standing still. That's not the worst advice, I guess.",CHARACTER,Zagreus,male
"Little tip, boyo? You find any coinage while you're out there, you be sure to pawn it off to that old Charon, boatman guy? Use it or lose it, pal, use it or lose it.",CHARACTER,Skelly,male
"Thanks, mate, note to self: Always spend everything I earn instead of ever saving.",CHARACTER,Zagreus,male
"Once in a while, pal, you're going to see a real fancy bozo try to ruin your good time. You'll know him 'cause he's glowing like a light, but that's his special armor, see? You got to punch right through it, he's going to shrug you off until you do!",CHARACTER,Skelly,male
"For a good time, beware the fancy glowing bozos on my quest. Check.",CHARACTER,Zagreus,male
"You know something, boyo, I think you could do a real number on one of these columns holding up this place, and bring the whole thing down in just a few swipes, boom, boom, BOOM! I'd hate to be standing near one of them if you did!",CHARACTER,Skelly,male
Wreck my father's finely crafted architecture every chance I get. That I can do for sure.,CHARACTER,Zagreus,male
"Boyo, next time you make it to the big VIP area upstairs, you watch out for those weapon-wielding gents out there! The eyeball soul thing that pops out when you beat 'em? You got to squash those, too, or else they'll grab their gear and come right back!",CHARACTER,Skelly,male
Crush the souls of Elysium's Exalted shades to stop them from regenerating over and over. I'll definitely do that next time I'm there.,CHARACTER,Zagreus,male
"Exactly, pal, that's it!",CHARACTER,Skelly,male
"If you're having a rough time out there, boyo, you just remember something: You're a god, all right?! Way tougher than you think. They give you trouble, you just turn on God Mode, and you let 'em have it for me!",CHARACTER,Skelly,male
"You act as though this God Mode is some sort of lever I can simply switch at will if ever I wish to unlock my latent strength, there, mate.",CHARACTER,Zagreus,male
ZagreusTalkDenialStart,CHARACTER,_preLineAnim,unknown
If I must.,CHARACTER,Zagreus,male
"Skelly, how do you know all this stuff, by the way? I mean no offense, but you're a skeleton who just stands around. Yet you have this wealth of knowledge of the Underworld?",CHARACTER,Zagreus,male
ZagreusTalkDenialStart,CHARACTER,_preLineAnim,unknown
"Hey, I know people, pal! We'll just have to leave it at that. Now let's see you break some of these bones, huh?",CHARACTER,Skelly,male
Yep. Now hop to it!,CHARACTER,Skelly,male
"Well, pal? You have come a pretty long way, let me tell you. I think most of the smarts I've picked up, you know by now. And so... if I'm fresh out of tips for you... I guess there's only one thing left to do.",CHARACTER,Skelly,male
"Stand there eternally to be whaled upon at my whim, using whichever weapon suits me at the time?",CHARACTER,Zagreus,male
ZagreusTalkEmpathyStart,CHARACTER,_preLineAnim,unknown
"Yeah, no, that definitely wouldn't fly.",CHARACTER,Skelly,male
"Say, mate? I picked up a painting for our lounge that looked a little like yourself. Reminds me... have you ever even been inside? Should come join us sometime.",CHARACTER,Zagreus,male
ZagreusTalkDenialStart,CHARACTER,_preLineAnim,unknown
"Ah, you know, while I appreciate that, there, boyo... those kind of social spaces, they're not really for me. I kind of like it out here, just me, these bats whizzing around from time to time.... Besides! The old contract makes it pretty clear I got to stay right here.",CHARACTER,Skelly,male
What if I picked you up bodily and brought you in? Contract have anything to say about that?,CHARACTER,Zagreus,male
ZagreusTalkEmpathyStart,CHARACTER,_preLineAnim,unknown
"Got to say, you're really getting somewhere, boyo, I'm pretty impressed here! And they don't even pay me to do that, I'm just supposed to stand around!",CHARACTER,Skelly,male
"Appreciate the vote of confidence, mate. Maybe you're right and someday I'll get out of here. Hey, if I never come back, you won't just be stuck here forever, will you?",CHARACTER,Zagreus,male
ZagreusTalkEmpathyStart,CHARACTER,_preLineAnim,unknown
"Heh, hehehe, that's a good one! No! Probably not. Wasn't anything in the old contract about that... huh.",CHARACTER,Skelly,male
"Appreciate it, Skelly.",CHARACTER,Zagreus,male
"Hitting a wall out there, boyo? Hey I know the feeling. You just keep at it, though! You're getting tougher, getting smarter... between the two of those, I'm thinking you'll pull through soon enough here.",CHARACTER,Skelly,male
"Come on, mate, won't you say who hired you? Was it Achilles? Couldn't have been Nyx...? Is it that big a deal?",CHARACTER,Zagreus,male
ZagreusTalkEmpathyStart,CHARACTER,_preLineAnim,unknown
"I am an individual of some integrity, boyo, and protect my sources with my life! You'll have to kill me if you want to make me squeal!",CHARACTER,Skelly,male
Hrm.,CHARACTER,Zagreus,male
"Say, uh, Skelly? How'd you get here, anyway?",CHARACTER,Zagreus,male
ZagreusTalkEmpathyStart,CHARACTER,_preLineAnim,unknown
"Oh, you know, just kind of zapped right in, like Papa lets us do! Some of us sometimes. Why do you ask?",CHARACTER,Skelly,male
"I meant... how did you get to the realm of the dead, in the first place. Lord Hermes whisk you to the entryway? Thanatos scoop you up, Charon give you a lift, what?",CHARACTER,Zagreus,male
ZagreusTalkDenialStart,CHARACTER,_preLineAnim,unknown
"Oh, haha! Well, that's a little personal, don't you think, boyo? I... I don't like to talk about it much. So, if I could have a little privacy...?",CHARACTER,Skelly,male
"Oh, hahaha, but I do!",CHARACTER,Skelly,male
"Skelly, is it really true you don't want to talk about how you got here? Just curious who you used to be. What you were like. Your real name.",CHARACTER,Zagreus,male
ZagreusTalkEmpathyStart,CHARACTER,_preLineAnim,unknown
"Hey, what makes you think this isn't my real name, pal? I'm offended!",CHARACTER,Skelly,male
"Sorry, what I meant was... I was just interested to get to know you better, after all you've done to help. Anything you can share? Trade you for a detail about me!",CHARACTER,Zagreus,male
ZagreusTalkDenialStart,CHARACTER,_preLineAnim,unknown
"...Well all right... I was once a commander of men. Name of Schelemeus. Captain of the Cretan second fleet, sailing on Athens under King Minos. We were unstoppable... but then one day... one wrong turn... and we sailed straight into the waters of Charybdis.",CHARACTER,Skelly,male
"Skelly, that's... that's incredible! So then... you and your crew, you perished at sea?",CHARACTER,Zagreus,male
ZagreusTalkEmpathyStart,CHARACTER,_preLineAnim,unknown
"I, uh, pfff, hahaha, boyo, you are something else, you know? All that Schelemeus stuff, I could have had you eating out of my hand for days!",CHARACTER,Skelly,male
"Oh, I get it. You got me. Fine, then, Schelemeus, but I don't appreciate the trick.",CHARACTER,Zagreus,male
ZagreusInteractionThoughtful,CHARACTER,_preLineAnim,unknown
Yep!,CHARACTER,Skelly,male
"Skelly... I'm serious. You really won't tell me anything about you? You're just going to leave me to speculate, forever?",CHARACTER,Zagreus,male
ZagreusTalkEmpathyStart,CHARACTER,_preLineAnim,unknown
Argh.,CHARACTER,Zagreus,male
Hahaha!,CHARACTER,Skelly,male
"Say, Skelly... or should I say Schelemeus? I happened to have a chat with somebody familiar with that name. Large bull-headed fellow originally from Crete. You said you made it all up! What's going on?",CHARACTER,Zagreus,male
ZagreusTalkEmpathyStart,CHARACTER,_preLineAnim,unknown
"Never said I made it up, pal! I just knew you weren't going to believe me, I mean, look at me! I look like a captain of the Cretan second fleet to you?",CHARACTER,Skelly,male
I don't know. I've never met one. Do they all just stand around doing nothing?,CHARACTER,Zagreus,male
ZagreusTalkEmpathyStart,CHARACTER,_preLineAnim,unknown
"Well, sounds like somebody's never had to lead like fifty-or-something sailors in a voyage across the sea in a Minoan galley with nothing but the stars to guide 'em! What do you think the captains do, pull the oars?",CHARACTER,Skelly,male
"Wait, what about Hermes? He gave me the impression you might have been somebody else. Nobody in particular. Not some great sea-captain.",CHARACTER,Zagreus,male
ZagreusTalkEmpathyStart,CHARACTER,_preLineAnim,unknown
"What is it with you gods talking behind the backs of all your friends, boyo?",CHARACTER,Skelly,male
Don't change the subject!,CHARACTER,Zagreus,male
Don't change the subject!,CHARACTER,Skelly,male
Fine. Maybe.,CHARACTER,Zagreus,male
"That Lucky Tooth you gave me, Skelly. First off, thanks again, and secondly... is this even yours? Had a run-in with Hermes, who got me thinking.",CHARACTER,Zagreus,male
ZagreusInteractionThoughtful,CHARACTER,_preLineAnim,unknown
"What, haha, you going to believe everything that gabby guy tells you, now, boyo? He doesn't know a thing about me!",CHARACTER,Skelly,male
Never said he did. Though since you let on... what's your relationship to him? Working for him?,CHARACTER,Zagreus,male
ZagreusTalkEmpathyStart,CHARACTER,_preLineAnim,unknown
"No! Nope. Definitely not working for him, closer to a peer relationship. Well, other than the fact that he's a god and I'm just... well, what you see is what you get with me, pal. Hey, you won't tell anyone, will you? I'm just here to help, I swear!",CHARACTER,Skelly,male
OK.,CHARACTER,Zagreus,male
"All right, fess up, Skelly, who are you working for? I know it's not Achilles. It's not Nyx. Dusa has no idea who you are. My father... no way. Hypnos? Give me a break. So the House is ruled out.",CHARACTER,Zagreus,male
ZagreusInteractionThoughtful,CHARACTER,_preLineAnim,unknown
"Sorry, pal, my lips are sealed. How about we change the subject?",CHARACTER,Skelly,male
How about you tell me who your sources are?,CHARACTER,Zagreus,male
ZagreusTalkEmpathyStart,CHARACTER,_preLineAnim,unknown
Nope!,CHARACTER,Skelly,male
Tell me.,CHARACTER,Zagreus,male
No way.,CHARACTER,Skelly,male
Tell me!,CHARACTER,Zagreus,male
I said no!,CHARACTER,Skelly,male
"Tell me, Skelly.",CHARACTER,Zagreus,male
Nuh-uh.,CHARACTER,Skelly,male
"Come on, tell me, please?",CHARACTER,Zagreus,male
No. Means. No.,CHARACTER,Skelly,male
Why won't you tell me?,CHARACTER,Zagreus,male
"Nice try, pal.",CHARACTER,Skelly,male
What if I never hit you again?,CHARACTER,Zagreus,male
ZagreusTalkDenialStart,CHARACTER,_preLineAnim,unknown
...Uh... no...?,CHARACTER,Skelly,male
"So help me, Skelly, if you don't tell me who you're working for, there will be no more violence between us, ever.",CHARACTER,Zagreus,male
"No... please, have mercy, boyo...",CHARACTER,Skelly,male
"No mercy, Skelly. Tell me. Or else... it will be only pleasantries between us from here on out.",CHARACTER,Zagreus,male
"Nrrrghh, all right! But you got to promise me something, promise not to let on or tell anybody in your fancy House, all right? Or else I'm done for. I'm serious!",CHARACTER,Skelly,male
I promise. So...?,CHARACTER,Zagreus,male
ZagreusTalkEmpathyStart,CHARACTER,_preLineAnim,unknown
...It's Charon.,CHARACTER,Skelly,male
Charon! Huh.,CHARACTER,Zagreus,male
ZagreusTalkEmpathy_Return,CHARACTER,_preLineAnim,unknown
"Yeah. He's rich. He's got connections to guys like me, and I think he's got a horse in this chariot race you've got going on around here with Papa.",CHARACTER,Skelly,male
What's his angle?,CHARACTER,Zagreus,male
ZagreusTalkEmpathyStart,CHARACTER,_preLineAnim,unknown
"No idea. Maybe he likes you, maybe he's bored.",CHARACTER,Skelly,male
"And Hermes... he's working for Charon, too?",CHARACTER,Zagreus,male
"Yep! Now, let's pretend like none of this ever happened, so I can stick around, all right? Remember, pal, you promised!",CHARACTER,Skelly,male
"If you did, pal, I would not be here right now!",CHARACTER,Skelly,male
"Skelly, did you tell Charon and Hermes about our little conversation from before, about your sources? Because, I didn't tell them, but... they seemed to know.",CHARACTER,Zagreus,male
ZagreusTalkEmpathyStart,CHARACTER,_preLineAnim,unknown
"Boyo, thought we agreed we weren't going to be having conversations on the subject from here on. Spares me having to spill my guts with my sources later.",CHARACTER,Skelly,male
"I didn't get you into too much trouble, did I?",CHARACTER,Zagreus,male
Appreciate you answering!,CHARACTER,Zagreus,male
"Hey, Skelly, what with everything out in the open now, with the Queen and Charon, and all that... mind if I mention some of this to Thanatos? Charon's his brother, after all.",CHARACTER,Zagreus,male
ZagreusTalkEmpathyStart,CHARACTER,_preLineAnim,unknown
"Oh! Yeah, now that you mention it, I guess that part of the old contract no longer applies. So, go right ahead! Appreciate you asking, pal.",CHARACTER,Skelly,male
"Hahaha, sure!",CHARACTER,Skelly,male
"Pal, thanks again for that Nectar bottle from before, stuff just goes right through me like you won't believe! Though, I hope you're not going around giving that stuff away to every bozo you know.",CHARACTER,Skelly,male
"What, Skelly, you worried something bad is going to happen if I express a bit of generosity from time to time through our somewhat-illicit gift-giving custom around here?",CHARACTER,Zagreus,male
ZagreusTalkEmpathyStart,CHARACTER,_preLineAnim,unknown
"No, I'm worried you'll be wasting your time! If you give that stuff away, don't expect to get anything back. Well, not after the first time, anyway. Usually! I'm just saying... don't get your hopes up.",CHARACTER,Skelly,male
Maybe I just want to show thanks to my friends for its own sake!,CHARACTER,Zagreus,male
ZagreusTalkDenialStart,CHARACTER,_preLineAnim,unknown
"Hey, Skelly? You look like you know your way around Tartarus. Found some of this ancient Titan blood out there, and I was looking to score some more.",CHARACTER,Zagreus,male
ZagreusTalkDenialStart,CHARACTER,_preLineAnim,unknown
"Ah, you've come to the right place regarding that, there, pal! It's your mean weapons back there that can find the stuff. Once you get all the way through Tartarus with one, that's all the blood you're going to get! For the time being anyhow.",CHARACTER,Skelly,male
"How am I supposed to keep track of which weapons I've earned these with, then?",CHARACTER,Zagreus,male
ZagreusTalkEmpathyStart,CHARACTER,_preLineAnim,unknown
"I don't know, there's always the invention of writing stuff down? You'll figure something out.",CHARACTER,Skelly,male
"Unlock those first, then, huh.",CHARACTER,Zagreus,male
"Skelly, you mentioned the ancient bit of blood I found in Tartarus. Know what I'm supposed to do with this stuff?",CHARACTER,Zagreus,male
ZagreusTalkDenialStart,CHARACTER,_preLineAnim,unknown
"Wouldn't know a thing about it! Definitely doesn't have anything to do with those Infernal Arms of yours, some of which appear to still be unavailable to you, as I understand?",CHARACTER,Skelly,male
"That's an imaginative theory, mate.",CHARACTER,Zagreus,male
I should go check it out.,CHARACTER,Zagreus,male
"So the strangest thing happened while you were out, boyo! One of your weapon holder things back there, it picked up this eerie glow! Could see it from the corner of my eye!",CHARACTER,Skelly,male
"Calm down, Skelly. I'm sure whatever it is is perfectly normal for a legendary semi-sentient Titan-slaying weapon from the dawn of time.",CHARACTER,Zagreus,male
ZagreusTalkDenialStart,CHARACTER,_preLineAnim,unknown
"That's just it! Those weapons of yours, they have seen some real business, pal. You're giving them a real workout, so maybe they're starting to like you or something? Loosening up a bit, you know? Like you and me!",CHARACTER,Skelly,male
Uh... sure.,CHARACTER,Zagreus,male
"You know, pal, when you're not around and it's just me and all your weapons, I mean your Infernal Arms right over there, between us they are making me a bit uncomfortable.",CHARACTER,Skelly,male
"Can't blame you, mate. I wouldn't want to be stuck in a chamber with a bunch of legendary, quite possibly malevolent killing artifacts. Anything I can do?",CHARACTER,Zagreus,male
ZagreusTalkDenialStart,CHARACTER,_preLineAnim,unknown
"Oh I didn't mean it like a bad thing, boyo! The weirder you make those things, the more it gives me the shakes, and keeps me hopping like this nice and steady till the next time you get back! So, thanks!",CHARACTER,Skelly,male
"All right, maybe I will.",CHARACTER,Zagreus,male
"Say, Skelly? Don't suppose you'd care to tell me how the infamous Twin Fists of Malphon came to be right here in this very courtyard, would you?",CHARACTER,Zagreus,male
ZagreusTalkEmpathyStart,CHARACTER,_preLineAnim,unknown
"Nope! Not any of my business, pal, which is to say, I didn't see a thing! And even if I did, it isn't what I'm paid to do! Don't you have someone in your fancy House there paid to keep watch over stuff like that? Ask them!",CHARACTER,Skelly,male
I miss my fancy sorcery already.,CHARACTER,Zagreus,male
"Hey, just want to say, pal, that spooky crimson phoenix stuff that you were going on about before? I mean, whoa, you just say some nonsense and you get a brand-new spear? I was so impressed, I decided to try that trick for myself!",CHARACTER,Skelly,male
"Oh, gods... Skelly, what did you do...?",CHARACTER,Zagreus,male
ZagreusInteractionThoughtful,CHARACTER,_preLineAnim,unknown
"Relax, boyo, just had a little chat with your old serving platter over there after you left, is all. That thing hits pretty hard! So, then, I say to it, I see you through the eyes of the crimson phoenix... and you want to know what happened after that?",CHARACTER,Skelly,male
"So you carelessly spoke secret words imparted by the Fates themselves to an infernal weapon forged at the dawn of creation, then what? Say, did you walk up to Aegis, or just shout over your shoulder?",CHARACTER,Zagreus,male
ZagreusTalkDenialStart,CHARACTER,_preLineAnim,unknown
